image,name,category,stock,reorder_level,price,supplier_name,supplier_address
/macro/assets/to-kill-a-mockingbird.jpg,To Kill a Mockingbird,Fiction,50,10,18.99,Default Supplier,"123 Default St, City, Country"
/macro/assets/1984.jpg,1984,Dystopian,80,15,15.99,Default Supplier,"123 Default St, City, Country"
/macro/assets/the-great-gatsby.jpg,The Great Gatsby,Classic,30,5,10.99,Default Supplier,"123 Default St, City, Country"
/macro/assets/pride-and-prejudice.png,Pride and Prejudice,Romance,40,8,12.99,Default Supplier,"123 Default St, City, Country"
/macro/assets/the-hobbit.jpg,The Hobbit,Fantasy,60,12,25.99,Default Supplier,"123 Default St, City, Country"
/macro/assets/war-and-peace.jpg,War and Peace,Historical,20,5,29.99,Classic Books Inc.,"456 History Ave, Town, Country"
/macro/assets/moby-dick.jpg,Moby-Dick,Adventure,35,7,17.49,Ocean Press,"789 Ocean Rd, Seaside, Country"
/macro/assets/the-catcher-in-the-rye.jpg,The Catcher in the Rye,Fiction,45,10,14.99,Classic Books Inc.,"456 History Ave, Town, Country"
/macro/assets/anne-of-green-gables.jpg,Anne of Green Gables,Children's,55,12,13.49,Young Readers,"123 Green Lane, Countryside, Country"
/macro/assets/brave-new-world.jpg,Brave New World,Dystopian,90,20,19.99,Future Press,"111 Future Rd, Future City, Country"
/macro/assets/harry-potter.jpg,Harry Potter and the Sorcerer's Stone,Fantasy,150,30,22.99,Wizarding World Ltd.,"432 Magic Blvd, Hogwarts, Country"
/macro/assets/lord-of-the-rings.jpg,The Lord of the Rings,Fantasy,60,12,25.99,Epic Reads,"567 Tolkien St, Middle Earth, Country"
/macro/assets/the-shining.jpg,The Shining,Horror,25,5,18.49,Spooky Books,"987 Creepy St, Darktown, Country"
/macro/assets/dune.jpg,Dune,Science Fiction,40,10,27.99,Sci-Fi World,"654 Desert Ave, Arrakis, Country"
/macro/assets/the-alchemist.jpg,The Alchemist,Adventure,60,15,15.99,Dream Publishing,"321 Dream St, Oasis, Country"
/macro/assets/chronicles-of-narnia.jpg,The Chronicles of Narnia,Fantasy,70,14,16.49,Fantasy World,"888 Lion Rd, Narnia, Country"
/macro/assets/frankenstein.jpg,Frankenstein,Horror,28,6,12.99,Horror Publications,"101 Horror Ave, Fear City, Country"
/macro/assets/sherlock-holmes.jpg,Sherlock Holmes,Mystery,85,17,14.99,Mystery Press,"555 Baker St, London, UK"
/macro/assets/the-giving-tree.jpg,The Giving Tree,Children's,120,25,8.99,Children's World,"213 Greenway, Happy Town, Country"
/macro/assets/alice-in-wonderland.jpg,Alice in Wonderland,Fantasy,100,20,12.49,Wonderland Books,"321 Wonderland St, Wonderland, Country"
